Common Turkic Latin	Turkish	Azerbaijani alphabet	Turkmen	Gagauz	Crimean Tatar	Tatar	Bashkir	Kumyk	Karachay-Balkar	Karaim	Kazakh	Karakalpak	Nogai	Kyrgyz	Uzbek	Uyghur	Salar	Salar (new official orthography)	Tuvan
A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	O	A	A	A	A
B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
C	C	C	J	C	C	C	-	C	C	DŽ	-	-	C	C	-	J	C	J/ZH	-
D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
D.1	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	Ë	E	E	E
F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
G	G	G	G	G	G	G	G	G	G	D'	G	G	G	G	G	G	G	G	G
H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H
I	I	I	Y	I	I	I	I	I	I	Y	Y	Í	I	I	-	-	I	U	Ь
J	J	J	Ž	J	J	J	J	J	J	Ž	J	J	J	-	J	ZH	J	R	J
K	K	K	K	K	K	K	K	K	K	T'	K	K	K	K	K	K	K	K	K
L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M
N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
Q	-	Q	-	-	Q	Q	Q	Q	Q	K	Q	Q	Q	Q	Q	Q	Q	G	-
R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
S	S	S	-	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
S.1	S	S	-	S	S	S	S	S	S	Ś	S	S	S	S	S	S	S	S	S
T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
T.1	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U
V	V	V	W	V	V	V	V	-	V	V	V	V	-	V	V	V	V	W	V
W	-	-	-	-	-	W	W	W	W	-	Ý	W	W	-	-	-	-	-	-
X	-	X	-	-	-	X	X	X	-	CH	H	X	-	Q	X	X	X	K	X
Y	Y	Y	Ý	Y	Y	Y	Y	Y	Y	J	I	Y	Y	Y	Y	Y	Y	Y	J
Z	Z	Z	-	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
Ä	-	-	Ä	-	-	A	Ä	Ä	-	-	Á	Á	Ä	-	-	-	-	-	-
Ç	Ç	Ç	Ç	Ç	Ç	Ç	Ç	Ç	Ç	Č	CH	CH	Ç	Ç	CH	CH	Ç	Q/CH	C
Ë	E	Ə	Ä, E	Ä	E	Ä	Ä	Ä	E	E	E	Á	Ä	E	A	E	E	E	E
Ñ	-	-	Ň	-	Ñ	Ñ	Ñ	Ñ	Ñ	-	Ń	Ń	Ñ	Ñ	NG	NG	Ñ	NG	Ñ
Ö	Ö	Ö	Ö	Ö	Ö	Ö	Ö	Ö	Ö	Ö	Ó	Ó	Ö	Ö	Oʻ	Ö	Ö	Ö	Ө
Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ú	Ú	Ü	Ü	-	Ü	Ü	Ü	Y
Þ	-	-	S	-	-	-	Ś	-	-	-	-	-	-	-	-	-	-	-	-
Ğ	Ğ	Ğ	-	-	Ğ	Ğ	Ğ	Ğ	Ğ	G	Ǵ	Ǵ	Ğ	Ğ	Gʻ	GH	Ğ	GH	Ƣ
Ģ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
İ	İ	İ	I	İ	İ	İ	İ	İ	İ	I	İ	I	İ	İ	I	I	İ	I	I
Ļ	-	-	-	-	-	-	-	-	-	L'	-	-	-	-	-	-	-	-	-
Ņ	-	-	-	-	-	-	-	-	-	Ń	-	-	-	-	-	-	-	-	-
Ş	Ş	Ş	Ş	Ş	Ş	Ş	Ş	Ş	Ş	Š	SH	SH	Ş	Ş	SH	SH	Ş	X/SH	Ş
Ź	Z	Z	-	Z	Z	Z	Z	Z	Z	Ź	Z	Z	Z	Z	Z	Z	Z	Z	Ƶ
Ż	-	-	Z	-	-	-	Ź	-	-	-	-	-	-	-	-	-	-	-	-
Ț	-	-	-	Ţ	-	-	-	Č, Ţ	Ţ	C	TS	C	Ţ	Ţ	-	-	-	-	-
Ḑ	-	-	-	-	-	-	-	-	-	DZ	-	-	-	-	-	-	-	-	-
Ḩ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
